Date_YYYYMMDD,LOCAL_ID,SNODAS_SWE_Mean_m,SNODAS_SWE_Min_m,SNODAS_SWE_Max_m,SNODAS_SWE_StdDev_m,SNODAS_Pixels_Count,SNODAS_SnowCover_percent,SNODAS_SWE_Mean_in,SNODAS_SWE_Min_in,SNODAS_SWE_Max_in,SNODAS_SWE_StdDev_in
20170120,NPTC2L,0.002,0.0,0.015,0.0034,4176.0,35.7,0.079,0.0,0.591,0.1339
20170120,ADLC2,0.0,0.0,0.01,0.0012,879.0,7.2,0.0,0.0,0.394,0.0472
20170120,BONC2L,0.008,0.0,0.021,0.0058,1616.0,77.0,0.315,0.0,0.827,0.2283
20170120,LAMC2L,0.001,0.0,0.014,0.0023,12808.0,19.7,0.039,0.0,0.551,0.0906
20170120,EHTK1,0.0,0.0,0.027,0.0025,7589.0,4.4,0.0,0.0,1.063,0.0984
20170120,COOK1,0.008,0.0,0.029,0.0071,6316.0,72.8,0.315,0.0,1.142,0.2795
20170120,FSEC2L,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0
20170120,DRFK1,0.001,0.0,0.024,0.0025,10838.0,11.3,0.039,0.0,0.945,0.0984
20170120,JMCC2,0.009,0.0,0.023,0.0056,3188.0,91.5,0.354,0.0,0.906,0.2205
20170120,LMAC2,0.009,0.0,0.022,0.0058,5683.0,86.3,0.354,0.0,0.866,0.2283
20170120,SYRK1,0.0,0.0,0.017,0.0011,1258.0,4.5,0.0,0.0,0.669,0.0433
20170120,KENK1,0.0,0.0,0.0,0.0,783.0,0.0,0.0,0.0,0.0,0.0
20170120,FRGO2,0.0,0.0,0.0,0.0,17634.0,0.0,0.0,0.0,0.0,0.0
20170120,TQLC2,0.298,0.0,0.385,0.075,125.0,96.8,11.732,0.0,15.157,2.9528
20170120,LEDC2,0.244,0.056,0.387,0.0735,449.0,100.0,9.606,2.205,15.236,2.8937
20170120,TINC2,0.201,0.026,0.325,0.0929,318.0,100.0,7.913,1.024,12.795,3.6575
20170120,ABEC2,0.21,0.043,0.367,0.0702,366.0,100.0,8.268,1.693,14.449,2.7638
20170120,TLRC2,0.153,0.0,0.26,0.0586,135.0,94.8,6.024,0.0,10.236,2.3071
20170120,ARGC2,0.141,0.038,0.288,0.0466,403.0,100.0,5.551,1.496,11.339,1.8346
20170120,BTNFDRLO,0.012,0.0,0.081,0.013,89.0,93.3,0.472,0.0,3.189,0.5118
20170120,BTNFDRM,0.067,0.0,0.276,0.0549,196.0,95.4,2.638,0.0,10.866,2.1614
20170120,BTNFDRUP,0.191,0.045,0.276,0.0543,84.0,100.0,7.52,1.772,10.866,2.1378
20170120,BTCANYLO,0.011,0.0,0.064,0.0146,249.0,80.7,0.433,0.0,2.52,0.5748
