Date_YYYYMMDD,LOCAL_ID,SWE_Mean_meters,SWE_Minimum_meters,SWE_Maximum_meters,SWE_StdDev_meters,Count_pixels,SnowCover_percent,SWE_Mean_inches,SWE_Min_inches,SWE_Max_inches,SWE_StdDev_inches
20161207,CDMC2,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0
20161207,ARCC2,0.0,0.0,0.0,0.0,2369.0,0.0,0.0,0.0,0.0,0.0
20161207,LXHC2,0.0,0.0,0.0,0.0,3284.0,0.0,0.0,0.0,0.0,0.0
20161207,FWRC2U,0.0,0.0,0.039,0.0023,2082.0,2.4,0.0,0.0,1.535,0.0906
20161207,BONC2U,0.001,0.0,0.054,0.0049,6084.0,11.3,0.039,0.0,2.126,0.1929
20161207,LAMC2U,0.0,0.0,0.0,0.0,1617.0,0.0,0.0,0.0,0.0,0.0
20161207,LARC2U,0.0,0.0,0.0,0.0,924.0,0.0,0.0,0.0,0.0,0.0
20161207,NPTC2U,0.0,0.0,0.0,0.0,1227.0,0.0,0.0,0.0,0.0,0.0
20161207,FSEC2U,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0
20161207,CSNC2U,0.003,0.0,0.013,0.0034,71.0,64.8,0.118,0.0,0.512,0.1339
20161207,THTC2U,0.0,0.0,0.0,0.0,1295.0,0.0,0.0,0.0,0.0,0.0
20161207,SCVC2U,0.004,0.0,0.041,0.009,933.0,22.5,0.157,0.0,1.614,0.3543
20161207,PNNC2U,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0
20161207,FHAC2U,0.0,0.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0
20161207,PBAC2U,0.0,0.0,0.009,0.001,829.0,22.2,0.0,0.0,0.354,0.0394
20161207,CBVC2,0.015,0.001,0.04,0.0137,137.0,100.0,0.591,0.039,1.575,0.5394
20161207,ABVC2,0.009,0.0,0.04,0.0109,622.0,88.3,0.354,0.0,1.575,0.4291
20161207,CLVC2L,0.01,0.0,0.035,0.0091,178.0,74.2,0.394,0.0,1.378,0.3583
20161207,GCWC2,0.011,0.0,0.071,0.019,1470.0,42.4,0.433,0.0,2.795,0.748
20161207,BCHC2,0.001,0.0,0.009,0.0014,886.0,31.4,0.039,0.0,0.354,0.0551
20161207,PGWC2L,0.006,0.0,0.05,0.011,1283.0,30.5,0.236,0.0,1.969,0.4331
20161207,PGWC2U,0.041,0.027,0.059,0.0053,136.0,100.0,1.614,1.063,2.323,0.2087
20161207,CLRC2,0.006,0.003,0.009,0.0021,6.0,100.0,0.236,0.118,0.354,0.0827
20161207,CHKC2,0.027,0.001,0.055,0.012,370.0,100.0,1.063,0.039,2.165,0.4724
20161207,AERK1N,0.0,0.0,0.0,0.0,6947.0,0.0,0.0,0.0,0.0,0.0
20161207,NMIC2,0.0,0.0,0.0,0.0,4206.0,0.0,0.0,0.0,0.0,0.0
20161207,THTC2L,0.0,0.0,0.0,0.0,3861.0,0.0,0.0,0.0,0.0,0.0
20161207,DWSC2,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0
20161207,HMCC2,0.047,0.017,0.065,0.0084,113.0,100.0,1.85,0.669,2.559,0.3307
20161207,TDDC2,0.0,0.0,0.0,0.0,702.0,0.0,0.0,0.0,0.0,0.0
20161207,PTRC2,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0
20161207,FNEC2,0.0,0.0,0.008,0.0007,1236.0,5.7,0.0,0.0,0.315,0.0276
20161207,PDLC2,0.003,0.0,0.048,0.0085,3579.0,52.4,0.118,0.0,1.89,0.3346
20161207,CCAC2,0.035,0.003,0.055,0.0108,303.0,100.0,1.378,0.118,2.165,0.4252
20161207,CBAC2,0.032,0.006,0.06,0.0126,317.0,100.0,1.26,0.236,2.362,0.4961
20161207,HMZC2L,0.016,0.0,0.046,0.0126,208.0,90.9,0.63,0.0,1.811,0.4961
20161207,FCAC2,0.001,0.0,0.014,0.0022,1900.0,20.2,0.039,0.0,0.551,0.0866
20161207,PRTC2,0.001,0.0,0.029,0.0026,1906.0,5.5,0.039,0.0,1.142,0.1024
20161207,PNNC2L,0.0,0.0,0.0,0.0,699.0,0.0,0.0,0.0,0.0,0.0
20161207,PBAC2L,0.0,0.0,0.0,0.0,2071.0,0.0,0.0,0.0,0.0,0.0
20161207,PDAC2,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
20161207,FCHC2,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0
20161207,HMZC2U,0.045,0.029,0.06,0.0085,136.0,100.0,1.772,1.142,2.362,0.3346
20161207,SALC2,0.001,0.0,0.022,0.0034,529.0,46.1,0.039,0.0,0.866,0.1339
20161207,ARNC2,0.002,0.0,0.029,0.0051,968.0,44.6,0.079,0.0,1.142,0.2008
20161207,WSVC2,0.015,0.0,0.051,0.0148,1150.0,92.8,0.591,0.0,2.008,0.5827
20161207,CSNC2L,0.001,0.0,0.012,0.0024,428.0,31.5,0.039,0.0,0.472,0.0945
20161207,KENO2,0.0,0.0,0.0,0.0,4877.0,0.0,0.0,0.0,0.0,0.0
20161207,FWRC2L,0.0,0.0,0.0,0.0,2551.0,0.0,0.0,0.0,0.0,0.0
20161207,TBTC2,0.0,0.0,0.0,0.0,2041.0,0.0,0.0,0.0,0.0,0.0
20161207,PGMC2,0.0,0.0,0.0,0.0,807.0,0.0,0.0,0.0,0.0,0.0
20161207,CNCC2,0.0,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,0.0,0.0
20161207,FHAC2L,0.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0
20161207,LARC2L,0.0,0.0,0.0,0.0,9166.0,0.0,0.0,0.0,0.0,0.0
20161207,LAPC2,0.0,0.0,0.0,0.0,2511.0,0.0,0.0,0.0,0.0,0.0
20161207,SCVC2L,0.0,0.0,0.0,0.0,1274.0,0.0,0.0,0.0,0.0,0.0
20161207,CLVC2U,0.036,0.014,0.05,0.0071,64.0,100.0,1.417,0.551,1.969,0.2795
20161207,NPTC2L,0.0,0.0,0.0,0.0,4176.0,0.0,0.0,0.0,0.0,0.0
20161207,ADLC2,0.0,0.0,0.0,0.0,879.0,0.0,0.0,0.0,0.0,0.0
20161207,BONC2L,0.0,0.0,0.0,0.0,1616.0,0.0,0.0,0.0,0.0,0.0
20161207,LAMC2L,0.0,0.0,0.0,0.0,12808.0,0.0,0.0,0.0,0.0,0.0
20161207,EHTK1,0.0,0.0,0.0,0.0,7589.0,0.0,0.0,0.0,0.0,0.0
20161207,COOK1,0.0,0.0,0.0,0.0,6316.0,0.0,0.0,0.0,0.0,0.0
20161207,FSEC2L,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0
20161207,DRFK1,0.0,0.0,0.0,0.0,10838.0,0.0,0.0,0.0,0.0,0.0
20161207,JMCC2,0.0,0.0,0.0,0.0,3188.0,0.0,0.0,0.0,0.0,0.0
20161207,LMAC2,0.0,0.0,0.0,0.0,5683.0,0.0,0.0,0.0,0.0,0.0
20161207,SYRK1,0.0,0.0,0.0,0.0,1258.0,0.0,0.0,0.0,0.0,0.0
20161207,KENK1,0.0,0.0,0.0,0.0,783.0,0.0,0.0,0.0,0.0,0.0
20161207,FRGO2,0.0,0.0,0.0,0.0,17634.0,0.0,0.0,0.0,0.0,0.0
20161207,TQLC2,0.055,0.0,0.083,0.0172,125.0,96.8,2.165,0.0,3.268,0.6772
20161207,LEDC2,0.04,0.012,0.075,0.0126,449.0,100.0,1.575,0.472,2.953,0.4961
20161207,TINC2,0.049,0.028,0.071,0.01,318.0,100.0,1.929,1.102,2.795,0.3937
20161207,ABEC2,0.03,0.009,0.068,0.0146,366.0,100.0,1.181,0.354,2.677,0.5748
20161207,TLRC2,0.024,0.0,0.045,0.0114,135.0,94.8,0.945,0.0,1.772,0.4488
20161207,ARGC2,0.016,0.002,0.051,0.0087,403.0,100.0,0.63,0.079,2.008,0.3425
20161207,BTNFDRLO,0.008,0.008,0.01,0.0005,89.0,100.0,0.315,0.315,0.394,0.0197
20161207,BTNFDRM,0.015,0.008,0.062,0.0107,196.0,100.0,0.591,0.315,2.441,0.4213
20161207,BTNFDRUP,0.046,0.023,0.062,0.0073,84.0,100.0,1.811,0.906,2.441,0.2874
20161207,BTCANYLO,0.008,0.007,0.01,0.001,249.0,100.0,0.315,0.276,0.394,0.0394
20161207,BTCANYUP,0.01,0.008,0.033,0.0039,118.0,100.0,0.394,0.315,1.299,0.1535
20161207,BTABESLO,0.011,0.01,0.014,0.001,33.0,100.0,0.433,0.394,0.551,0.0394
20161207,BTABESM,0.027,0.009,0.074,0.0161,278.0,100.0,1.063,0.354,2.913,0.6339
20161207,BTABESUP,0.053,0.032,0.079,0.0095,289.0,100.0,2.087,1.26,3.11,0.374
20161207,TCFC2H_F,0.049,0.023,0.068,0.0092,387.0,100.0,1.929,0.906,2.677,0.3622
20161207,SKEC2H_F,0.045,0.022,0.104,0.0138,253.0,100.0,1.772,0.866,4.094,0.5433
20161207,BSWC2L_F,0.026,0.009,0.055,0.0102,341.0,100.0,1.024,0.354,2.165,0.4016
20161207,NAVC2H_F,0.087,0.024,0.138,0.0225,431.0,100.0,3.425,0.945,5.433,0.8858
20161207,ENMC2H_F,0.068,0.0,0.148,0.0308,2054.0,99.8,2.677,0.0,5.827,1.2126
20161207,TRAC2H_F,0.048,0.024,0.079,0.0125,559.0,100.0,1.89,0.945,3.11,0.4921
20161207,TPIC2L_F,0.041,0.0,0.062,0.0097,542.0,99.1,1.614,0.0,2.441,0.3819
20161207,DRRC2H_F,0.084,0.029,0.114,0.0156,463.0,100.0,3.307,1.142,4.488,0.6142
20161207,SJAC2H_F,0.057,0.035,0.076,0.0103,265.0,100.0,2.244,1.378,2.992,0.4055
20161207,DIRC2L_F,0.024,0.0,0.068,0.0134,262.0,95.8,0.945,0.0,2.677,0.5276
20161207,WFLC2H_F,0.059,0.031,0.087,0.0109,392.0,100.0,2.323,1.22,3.425,0.4291
20161207,CRCC2H_F,0.018,0.0,0.054,0.0115,1480.0,98.5,0.709,0.0,2.126,0.4528
20161207,FPTC2H_F,0.059,0.025,0.092,0.0144,586.0,100.0,2.323,0.984,3.622,0.5669
20161207,LPHC2H_F,0.073,0.003,0.142,0.0385,149.0,100.0,2.874,0.118,5.591,1.5157
20161207,APNC2H_F,0.064,0.033,0.088,0.0115,465.0,100.0,2.52,1.299,3.465,0.4528
20161207,LEMC2H_F,0.077,0.008,0.133,0.0335,298.0,100.0,3.031,0.315,5.236,1.3189
20161207,CSSC2H_F,0.058,0.023,0.079,0.0127,163.0,100.0,2.283,0.906,3.11,0.5
20161207,LFGC2H_F,0.043,0.009,0.084,0.0178,1629.0,100.0,1.693,0.354,3.307,0.7008
20161207,TOMC2L_F,0.018,0.0,0.061,0.0136,3172.0,96.7,0.709,0.0,2.402,0.5354
20161207,RURC2L_F,0.043,0.014,0.081,0.0156,395.0,100.0,1.693,0.551,3.189,0.6142
20161207,VCRC2H_F,0.071,0.0,0.136,0.0229,1102.0,99.5,2.795,0.0,5.354,0.9016
20161207,PSBC2H_F,0.037,0.002,0.081,0.0157,424.0,100.0,1.457,0.079,3.189,0.6181
20161207,BMDC2L_F,0.032,0.0,0.101,0.0205,4352.0,99.5,1.26,0.0,3.976,0.8071
20161207,WORC2H_F,0.044,0.004,0.116,0.023,1229.0,100.0,1.732,0.157,4.567,0.9055
20161207,FISC2H_F,0.103,0.05,0.144,0.0243,115.0,100.0,4.055,1.969,5.669,0.9567
20161207,DCKC2H_F,0.024,0.0,0.076,0.0207,431.0,92.1,0.945,0.0,2.992,0.815
20161207,MPSC2L_F,0.049,0.019,0.091,0.013,957.0,100.0,1.929,0.748,3.583,0.5118
20161207,CLSC2L_F,0.052,0.024,0.084,0.0093,1121.0,100.0,2.047,0.945,3.307,0.3661
20161207,SMPC2H_F,0.045,0.0,0.101,0.0276,1362.0,97.4,1.772,0.0,3.976,1.0866
20161207,PSPC2H_F,0.072,0.001,0.159,0.0331,1310.0,100.0,2.835,0.039,6.26,1.3031
20161207,LCCC2H_F,0.019,0.0,0.103,0.0298,285.0,81.4,0.748,0.0,4.055,1.1732
20161207,RCYC2H_F,0.072,0.024,0.145,0.0231,728.0,100.0,2.835,0.945,5.709,0.9094
