Date_YYYYMMDD,LOCAL_ID,SWE_Mean_meters,SWE_Minimum_meters,SWE_Maximum_meters,SWE_StdDev_meters,Count_pixels,SnowCover_percent,SWE_Mean_inches,SWE_Min_inches,SWE_Max_inches,SWE_StdDev_inches
20160324,CDMC2,0.0,0.0,0.001,0.0001,1314.0,0.9,0.0,0.0,0.039,0.0039
20160324,ARCC2,0.0,0.0,0.005,0.0005,2369.0,8.7,0.0,0.0,0.197,0.0197
20160324,LXHC2,0.001,0.0,0.006,0.0017,3284.0,50.3,0.039,0.0,0.236,0.0669
20160324,FWRC2U,0.004,0.0,0.225,0.0112,2082.0,98.3,0.157,0.0,8.858,0.4409
20160324,BONC2U,0.003,0.0,0.333,0.0142,6084.0,69.6,0.118,0.0,13.11,0.5591
20160324,LAMC2U,0.019,0.014,0.024,0.0019,1617.0,100.0,0.748,0.551,0.945,0.0748
20160324,LARC2U,0.013,0.006,0.018,0.0031,924.0,100.0,0.512,0.236,0.709,0.122
20160324,NPTC2U,0.014,0.006,0.023,0.0039,1227.0,100.0,0.551,0.236,0.906,0.1535
20160324,FSEC2U,0.012,0.004,0.019,0.0035,296.0,100.0,0.472,0.157,0.748,0.1378
20160324,CSNC2U,0.105,0.012,0.228,0.0604,71.0,100.0,4.134,0.472,8.976,2.378
20160324,THTC2U,0.004,0.001,0.008,0.0017,1295.0,100.0,0.157,0.039,0.315,0.0669
20160324,SCVC2U,0.007,0.0,0.166,0.0209,933.0,64.2,0.276,0.0,6.535,0.8228
20160324,PNNC2U,0.002,0.0,0.006,0.0018,85.0,67.1,0.079,0.0,0.236,0.0709
20160324,FHAC2U,0.007,0.0,0.013,0.0027,334.0,95.8,0.276,0.0,0.512,0.1063
20160324,PBAC2U,0.02,0.0,0.203,0.0387,829.0,80.6,0.787,0.0,7.992,1.5236
20160324,CBVC2,0.053,0.0,0.229,0.0671,137.0,56.2,2.087,0.0,9.016,2.6417
20160324,ABVC2,0.031,0.0,0.205,0.0511,622.0,56.8,1.22,0.0,8.071,2.0118
20160324,CLVC2L,0.029,0.008,0.218,0.0457,178.0,100.0,1.142,0.315,8.583,1.7992
20160324,GCWC2,0.047,0.0,0.495,0.1099,1470.0,73.9,1.85,0.0,19.488,4.3268
20160324,BCHC2,0.0,0.0,0.031,0.0012,886.0,5.6,0.0,0.0,1.22,0.0472
20160324,PGWC2L,0.016,0.004,0.369,0.0362,1283.0,100.0,0.63,0.157,14.528,1.4252
20160324,PGWC2U,0.128,0.008,0.365,0.084,136.0,100.0,5.039,0.315,14.37,3.3071
20160324,CLRC2,0.002,0.002,0.002,0.0,6.0,100.0,0.079,0.079,0.079,0.0
20160324,CHKC2,0.126,0.0,0.345,0.1062,370.0,91.6,4.961,0.0,13.583,4.1811
20160324,AERK1N,0.001,0.0,0.008,0.001,6947.0,77.7,0.039,0.0,0.315,0.0394
20160324,NMIC2,0.004,0.0,0.007,0.0014,4206.0,99.3,0.157,0.0,0.276,0.0551
20160324,THTC2L,0.002,0.0,0.005,0.0007,3861.0,99.8,0.079,0.0,0.197,0.0276
20160324,DWSC2,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0
20160324,HMCC2,0.155,0.016,0.295,0.0931,113.0,100.0,6.102,0.63,11.614,3.6654
20160324,TDDC2,0.006,0.003,0.008,0.0012,702.0,100.0,0.236,0.118,0.315,0.0472
20160324,PTRC2,0.006,0.002,0.008,0.0015,380.0,100.0,0.236,0.079,0.315,0.0591
20160324,FNEC2,0.019,0.006,0.09,0.0078,1236.0,100.0,0.748,0.236,3.543,0.3071
20160324,PDLC2,0.015,0.0,0.42,0.0575,3579.0,45.0,0.591,0.0,16.535,2.2638
20160324,CCAC2,0.13,0.002,0.375,0.1015,303.0,100.0,5.118,0.079,14.764,3.9961
20160324,CBAC2,0.125,0.0,0.263,0.0797,317.0,98.1,4.921,0.0,10.354,3.1378
20160324,HMZC2L,0.013,0.003,0.298,0.0402,208.0,100.0,0.512,0.118,11.732,1.5827
