Date_YYYYMMDD,LOCAL_ID,SNODAS_SWE_Mean_m,SNODAS_SWE_Min_m,SNODAS_SWE_Max_m,SNODAS_SWE_StdDev_m,SNODAS_Pixels_Count,SNODAS_SnowCover_percent,SNODAS_SWE_Mean_in,SNODAS_SWE_Min_in,SNODAS_SWE_Max_in,SNODAS_SWE_StdDev_in

20170127,CDMC2,0.004,0.0,0.009,0.0016,1314.0,99.9,0.157,0.0,0.354,0.063
20170127,ARCC2,0.002,0.0,0.006,0.0014,2369.0,80.1,0.079,0.0,0.236,0.0551
20170127,LXHC2,0.005,0.0,0.012,0.0023,3284.0,99.6,0.197,0.0,0.472,0.0906
20170127,FWRC2U,0.013,0.001,0.245,0.0172,2082.0,100.0,0.512,0.039,9.646,0.6772
20170127,BONC2U,0.015,0.0,0.274,0.0251,6084.0,98.7,0.591,0.0,10.787,0.9882
20170127,LAMC2U,0.0,0.0,0.0,0.0,1617.0,0.0,0.0,0.0,0.0,0.0
20170127,LARC2U,0.0,0.0,0.0,0.0,924.0,0.0,0.0,0.0,0.0,0.0
20170127,NPTC2U,0.0,0.0,0.003,0.0006,1227.0,39.2,0.0,0.0,0.118,0.0236
20170127,FSEC2U,0.005,0.001,0.027,0.0048,296.0,100.0,0.197,0.039,1.063,0.189
20170127,CSNC2U,0.077,0.034,0.125,0.0212,71.0,100.0,3.031,1.339,4.921,0.8346
20170127,THTC2U,0.013,0.005,0.03,0.003,1295.0,100.0,0.512,0.197,1.181,0.1181
20170127,SCVC2U,0.025,0.011,0.114,0.0189,933.0,100.0,0.984,0.433,4.488,0.7441
20170127,PNNC2U,0.016,0.009,0.032,0.0052,85.0,100.0,0.63,0.354,1.26,0.2047
20170127,FHAC2U,0.01,0.001,0.037,0.0104,334.0,100.0,0.394,0.039,1.457,0.4094
20170127,PBAC2U,0.035,0.002,0.12,0.0261,829.0,100.0,1.378,0.079,4.724,1.0276
20170127,CBVC2,0.099,0.026,0.185,0.0512,137.0,100.0,3.898,1.024,7.283,2.0157
20170127,ABVC2,0.072,0.0,0.22,0.0528,622.0,95.0,2.835,0.0,8.661,2.0787
20170127,CLVC2L,0.099,0.008,0.252,0.0743,178.0,100.0,3.898,0.315,9.921,2.9252
20170127,GCWC2,0.057,0.004,0.329,0.0797,1470.0,100.0,2.244,0.157,12.953,3.1378
20170127,BCHC2,0.011,0.0,0.075,0.0126,886.0,86.9,0.433,0.0,2.953,0.4961
20170127,PGWC2L,0.06,0.003,0.351,0.078,1283.0,100.0,2.362,0.118,13.819,3.0709
20170127,PGWC2U,0.256,0.074,0.379,0.089,136.0,100.0,10.079,2.913,14.921,3.5039
20170127,CLRC2,0.093,0.067,0.154,0.0305,6.0,100.0,3.661,2.638,6.063,1.2008
20170127,CHKC2,0.161,0.02,0.332,0.086,370.0,100.0,6.339,0.787,13.071,3.3858
20170127,AERK1N,0.0,0.0,0.0,0.0,6947.0,0.0,0.0,0.0,0.0,0.0
20170127,NMIC2,0.008,0.004,0.013,0.0014,4206.0,100.0,0.315,0.157,0.512,0.0551
20170127,THTC2L,0.013,0.005,0.03,0.0031,3861.0,100.0,0.512,0.197,1.181,0.122
20170127,DWSC2,0.007,0.001,0.013,0.0027,62.0,100.0,0.276,0.039,0.512,0.1063
20170127,HMCC2,0.228,0.039,0.356,0.0958,113.0,100.0,8.976,1.535,14.016,3.7717
20170127,TDDC2,0.005,0.002,0.013,0.0026,702.0,100.0,0.197,0.079,0.512,0.1024
20170127,PTRC2,0.011,0.004,0.028,0.0036,380.0,100.0,0.433,0.157,1.102,0.1417
20170127,FNEC2,0.009,0.001,0.085,0.0103,1236.0,100.0,0.354,0.039,3.346,0.4055
20170127,PDLC2,0.021,0.0,0.267,0.041,3579.0,97.5,0.827,0.0,10.512,1.6142
20170127,CCAC2,0.17,0.031,0.326,0.085,303.0,100.0,6.693,1.22,12.835,3.3465
20170127,CBAC2,0.152,0.02,0.275,0.0584,317.0,100.0,5.984,0.787,10.827,2.2992
20170127,HMZC2L,0.099,0.039,0.212,0.0408,208.0,100.0,3.898,1.535,8.346,1.6063
20170127,FCAC2,0.014,0.002,0.094,0.0132,1900.0,100.0,0.551,0.079,3.701,0.5197
20170127,PRTC2,0.008,0.0,0.078,0.0089,1906.0,99.9,0.315,0.0,3.071,0.3504
20170127,PNNC2L,0.004,0.001,0.013,0.0022,699.0,100.0,0.157,0.039,0.512,0.0866
20170127,PBAC2L,0.007,0.0,0.02,0.0042,2071.0,99.7,0.276,0.0,0.787,0.1654
20170127,PDAC2,0.003,0.002,0.004,0.0007,11.0,100.0,0.118,0.079,0.157,0.0276
20170127,FCHC2,0.002,0.0,0.005,0.0009,354.0,98.9,0.079,0.0,0.197,0.0354
20170127,HMZC2U,0.198,0.068,0.277,0.0541,136.0,100.0,7.795,2.677,10.906,2.1299
20170127,SALC2,0.024,0.0,0.187,0.0407,529.0,58.6,0.945,0.0,7.362,1.6024
20170127,ARNC2,0.021,0.0,0.195,0.0366,968.0,55.9,0.827,0.0,7.677,1.4409
20170127,WSVC2,0.138,0.0,0.427,0.1112,1150.0,91.0,5.433,0.0,16.811,4.378
20170127,CSNC2L,0.027,0.008,0.102,0.0116,428.0,100.0,1.063,0.315,4.016,0.4567
20170127,KENO2,0.005,0.002,0.011,0.0019,4877.0,100.0,0.197,0.079,0.433,0.0748
20170127,FWRC2L,0.007,0.002,0.016,0.0026,2551.0,100.0,0.276,0.079,0.63,0.1024
20170127,TBTC2,0.004,0.0,0.009,0.002,2041.0,93.7,0.157,0.0,0.354,0.0787
20170127,PGMC2,0.005,0.001,0.02,0.0032,807.0,100.0,0.197,0.039,0.787,0.126
20170127,CNCC2,0.003,0.001,0.012,0.0023,1097.0,100.0,0.118,0.039,0.472,0.0906
20170127,FHAC2L,0.007,0.003,0.018,0.0038,432.0,100.0,0.276,0.118,0.709,0.1496
20170127,LARC2L,0.0,0.0,0.005,0.0005,9166.0,10.2,0.0,0.0,0.197,0.0197
20170127,LAPC2,0.005,0.0,0.01,0.0026,2511.0,95.3,0.197,0.0,0.394,0.1024
20170127,SCVC2L,0.011,0.0,0.02,0.0048,1274.0,99.8,0.433,0.0,0.787,0.189
20170127,CLVC2U,0.27,0.182,0.335,0.0326,64.0,100.0,10.63,7.165,13.189,1.2835
20170127,NPTC2L,0.002,0.0,0.005,0.0009,4176.0,87.8,0.079,0.0,0.197,0.0354
20170127,ADLC2,0.003,0.0,0.008,0.0012,879.0,99.3,0.118,0.0,0.315,0.0472
20170127,BONC2L,0.008,0.002,0.019,0.0033,1616.0,100.0,0.315,0.079,0.748,0.1299
20170127,LAMC2L,0.0,0.0,0.0,0.0,12808.0,0.0,0.0,0.0,0.0,0.0
20170127,EHTK1,0.002,0.0,0.011,0.0021,7589.0,63.5,0.079,0.0,0.433,0.0827
20170127,COOK1,0.0,0.0,0.001,0.0001,6316.0,1.1,0.0,0.0,0.039,0.0039
20170127,FSEC2L,0.008,0.004,0.015,0.0024,204.0,100.0,0.315,0.157,0.591,0.0945
20170127,DRFK1,0.0,0.0,0.006,0.0009,10838.0,10.5,0.0,0.0,0.236,0.0354
20170127,JMCC2,0.002,0.0,0.007,0.0024,3188.0,59.3,0.079,0.0,0.276,0.0945
20170127,LMAC2,0.0,0.0,0.003,0.0006,5683.0,13.9,0.0,0.0,0.118,0.0236
20170127,SYRK1,0.0,0.0,0.0,0.0,1258.0,0.0,0.0,0.0,0.0,0.0
20170127,KENK1,0.0,0.0,0.0,0.0,783.0,0.0,0.0,0.0,0.0,0.0
20170127,FRGO2,0.0,0.0,0.005,0.0009,17634.0,11.1,0.0,0.0,0.197,0.0354
20170127,TQLC2,0.329,0.0,0.422,0.0805,125.0,96.8,12.953,0.0,16.614,3.1693
20170127,LEDC2,0.266,0.052,0.42,0.0791,449.0,100.0,10.472,2.047,16.535,3.1142
20170127,TINC2,0.221,0.038,0.352,0.0988,318.0,100.0,8.701,1.496,13.858,3.8898
20170127,ABEC2,0.228,0.04,0.398,0.078,366.0,100.0,8.976,1.575,15.669,3.0709
20170127,TLRC2,0.163,0.0,0.284,0.0638,135.0,94.8,6.417,0.0,11.181,2.5118
20170127,ARGC2,0.149,0.038,0.311,0.0509,403.0,100.0,5.866,1.496,12.244,2.0039
20170127,BTNFDRLO,0.011,0.0,0.092,0.0139,89.0,78.7,0.433,0.0,3.622,0.5472
20170127,BTNFDRM,0.065,0.0,0.286,0.0586,196.0,88.3,2.559,0.0,11.26,2.3071
20170127,BTNFDRUP,0.197,0.044,0.286,0.0565,84.0,100.0,7.756,1.732,11.26,2.2244
20170127,BTCANYLO,0.01,0.0,0.069,0.0147,249.0,85.1,0.394,0.0,2.717,0.5787
20170127,BTCANYUP,0.048,0.0,0.238,0.0618,118.0,64.4,1.89,0.0,9.37,2.4331
20170127,BTABESLO,0.062,0.04,0.095,0.0146,33.0,100.0,2.441,1.575,3.74,0.5748
20170127,BTABESM,0.224,0.017,0.437,0.0932,278.0,100.0,8.819,0.669,17.205,3.6693
20170127,BTABESUP,0.256,0.039,0.414,0.1037,289.0,100.0,10.079,1.535,16.299,4.0827
20170127,TCFC2H_F,0.277,0.056,0.369,0.0728,387.0,100.0,10.906,2.205,14.528,2.8661
20170127,SKEC2H_F,0.249,0.043,0.429,0.0895,253.0,100.0,9.803,1.693,16.89,3.5236
20170127,BSWC2L_F,0.214,0.05,0.332,0.0451,341.0,100.0,8.425,1.969,13.071,1.7756
20170127,NAVC2H_F,0.547,0.268,0.794,0.1125,431.0,100.0,21.535,10.551,31.26,4.4291
20170127,ENMC2H_F,0.429,0.0,0.815,0.1407,2054.0,99.8,16.89,0.0,32.087,5.5394
20170127,TRAC2H_F,0.337,0.037,0.497,0.1015,559.0,100.0,13.268,1.457,19.567,3.9961
