Date_YYYYMMDD,LOCAL_ID,SWE_Mean_meters,SWE_Minimum_meters,SWE_Maximum_meters,SWE_StdDev_meters,Count_pixels,SnowCover_percent,SWE_Mean_inches,SWE_Min_inches,SWE_Max_inches,SWE_StdDev_inches
20151120,CDMC2,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0
20151120,ARCC2,0.0,0.0,0.013,0.0017,2369.0,7.0,0.0,0.0,0.512,0.0669
20151120,LXHC2,0.002,0.0,0.019,0.0039,3284.0,17.8,0.079,0.0,0.748,0.1535
20151120,FWRC2U,0.02,0.0,0.048,0.0115,2082.0,89.2,0.787,0.0,1.89,0.4528
20151120,BONC2U,0.01,0.0,0.073,0.0114,6084.0,57.8,0.394,0.0,2.874,0.4488
20151120,LAMC2U,0.015,0.0,0.052,0.0089,1617.0,94.8,0.591,0.0,2.047,0.3504
20151120,LARC2U,0.008,0.0,0.031,0.0077,924.0,81.5,0.315,0.0,1.22,0.3031
20151120,NPTC2U,0.015,0.0,0.063,0.0141,1227.0,87.0,0.591,0.0,2.48,0.5551
20151120,FSEC2U,0.013,0.0,0.045,0.0114,296.0,78.4,0.512,0.0,1.772,0.4488
20151120,CSNC2U,0.057,0.019,0.095,0.0221,71.0,100.0,2.244,0.748,3.74,0.8701
20151120,THTC2U,0.034,0.008,0.057,0.0113,1295.0,100.0,1.339,0.315,2.244,0.4449
20151120,SCVC2U,0.008,0.0,0.067,0.0143,933.0,38.4,0.315,0.0,2.638,0.563
20151120,PNNC2U,0.003,0.0,0.02,0.0047,85.0,42.4,0.118,0.0,0.787,0.185
20151120,FHAC2U,0.003,0.0,0.023,0.0048,334.0,49.7,0.118,0.0,0.906,0.189
20151120,PBAC2U,0.016,0.0,0.094,0.0224,829.0,76.4,0.63,0.0,3.701,0.8819
20151120,CBVC2,0.023,0.0,0.076,0.0227,137.0,61.3,0.906,0.0,2.992,0.8937
20151120,ABVC2,0.017,0.0,0.073,0.0193,622.0,59.6,0.669,0.0,2.874,0.7598
20151120,CLVC2L,0.036,0.023,0.052,0.0061,178.0,100.0,1.417,0.906,2.047,0.2402
20151120,GCWC2,0.015,0.0,0.12,0.0287,1470.0,34.8,0.591,0.0,4.724,1.1299
20151120,BCHC2,0.001,0.0,0.038,0.0037,886.0,37.1,0.039,0.0,1.496,0.1457
20151120,PGWC2L,0.022,0.0,0.086,0.0131,1283.0,96.7,0.866,0.0,3.386,0.5157
20151120,PGWC2U,0.052,0.028,0.09,0.0137,136.0,100.0,2.047,1.102,3.543,0.5394
20151120,CLRC2,0.009,0.0,0.018,0.0068,6.0,66.7,0.354,0.0,0.709,0.2677
20151120,CHKC2,0.047,0.0,0.1,0.0232,370.0,91.6,1.85,0.0,3.937,0.9134
