Date_YYYYMMDD,LOCAL_ID,SNODAS_SWE_Mean_m,SNODAS_SWE_Min_m,SNODAS_SWE_Max_m,SNODAS_SWE_StdDev_m,SNODAS_Pixels_Count,SNODAS_SnowCover_percent,SNODAS_SWE_Mean_in,SNODAS_SWE_Min_in,SNODAS_SWE_Max_in,SNODAS_SWE_StdDev_in
20170122,CDMC2,0.011,0.0,0.024,0.006,1314.0,96.5,0.433,0.0,0.945,0.2362
20170122,ARCC2,0.003,0.0,0.019,0.0045,2369.0,56.6,0.118,0.0,0.748,0.1772
20170122,LXHC2,0.011,0.0,0.027,0.0053,3284.0,94.3,0.433,0.0,1.063,0.2087
20170122,FWRC2U,0.004,0.001,0.199,0.0131,2082.0,100.0,0.157,0.039,7.835,0.5157
20170122,BONC2U,0.009,0.001,0.241,0.0203,6084.0,100.0,0.354,0.039,9.488,0.7992
20170122,LAMC2U,0.002,0.0,0.008,0.0014,1617.0,94.6,0.079,0.0,0.315,0.0551
20170122,LARC2U,0.001,0.0,0.006,0.0007,924.0,58.1,0.039,0.0,0.236,0.0276
20170122,NPTC2U,0.003,0.001,0.009,0.0014,1227.0,100.0,0.118,0.039,0.354,0.0551
20170122,FSEC2U,0.007,0.003,0.02,0.0038,296.0,100.0,0.276,0.118,0.787,0.1496
20170122,CSNC2U,0.08,0.035,0.13,0.0217,71.0,100.0,3.15,1.378,5.118,0.8543
20170122,THTC2U,0.007,0.001,0.028,0.0074,1295.0,100.0,0.276,0.039,1.102,0.2913
20170122,SCVC2U,0.007,0.001,0.067,0.0079,933.0,100.0,0.276,0.039,2.638,0.311
20170122,PNNC2U,0.015,0.011,0.022,0.002,85.0,100.0,0.591,0.433,0.866,0.0787
20170122,FHAC2U,0.011,0.003,0.037,0.009,334.0,100.0,0.433,0.118,1.457,0.3543
20170122,PBAC2U,0.033,0.0,0.12,0.0289,829.0,90.8,1.299,0.0,4.724,1.1378
20170122,CBVC2,0.102,0.029,0.189,0.05,137.0,100.0,4.016,1.142,7.441,1.9685
20170122,ABVC2,0.074,0.001,0.209,0.0498,622.0,100.0,2.913,0.039,8.228,1.9606
20170122,CLVC2L,0.078,0.002,0.215,0.0681,178.0,100.0,3.071,0.079,8.465,2.6811
