Date_YYYYMMDD,LOCAL_ID,SNODAS_SWE_Mean_m,SNODAS_SWE_Min_m,SNODAS_SWE_Max_m,SNODAS_SWE_StdDev_m,SNODAS_Pixels_Count,SNODAS_SnowCover_percent,SNODAS_SWE_Mean_in,SNODAS_SWE_Min_in,SNODAS_SWE_Max_in,SNODAS_SWE_StdDev_in
20150103,CDMC2,0.008,0.005,0.01,0.001,1314.0,100.0,0.315,0.197,0.394,0.0394
20150103,ARCC2,0.008,0.0,0.009,0.0013,2369.0,99.5,0.315,0.0,0.354,0.0512
20150103,LXHC2,0.008,0.005,0.011,0.0009,3284.0,100.0,0.315,0.197,0.433,0.0354
20150103,FWRC2U,0.01,0.0,0.123,0.0088,2082.0,99.7,0.394,0.0,4.843,0.3465
20150103,BONC2U,0.02,0.0,0.127,0.0142,6084.0,99.9,0.787,0.0,5.0,0.5591
20150103,LAMC2U,0.006,0.004,0.012,0.0015,1617.0,100.0,0.236,0.157,0.472,0.0591
20150103,LARC2U,0.004,0.003,0.004,0.0003,924.0,100.0,0.157,0.118,0.157,0.0118
20150103,NPTC2U,0.006,0.001,0.025,0.0035,1227.0,100.0,0.236,0.039,0.984,0.1378
20150103,FSEC2U,0.007,0.002,0.019,0.0031,296.0,100.0,0.276,0.079,0.748,0.122
20150103,CSNC2U,0.04,0.017,0.058,0.01,71.0,100.0,1.575,0.669,2.283,0.3937
20150103,THTC2U,0.007,0.001,0.019,0.0037,1295.0,100.0,0.276,0.039,0.748,0.1457
20150103,SCVC2U,0.025,0.002,0.119,0.0199,933.0,100.0,0.984,0.079,4.685,0.7835
20150103,PNNC2U,0.006,0.002,0.009,0.0013,85.0,100.0,0.236,0.079,0.354,0.0512
20150103,FHAC2U,0.005,0.002,0.011,0.002,334.0,100.0,0.197,0.079,0.433,0.0787
20150103,PBAC2U,0.015,0.002,0.056,0.0116,829.0,100.0,0.591,0.079,2.205,0.4567
20150103,CBVC2,0.082,0.017,0.173,0.0494,137.0,100.0,3.228,0.669,6.811,1.9449
20150103,ABVC2,0.059,0.0,0.17,0.0431,622.0,99.7,2.323,0.0,6.693,1.6969
20150103,CLVC2L,0.045,0.022,0.123,0.018,178.0,100.0,1.772,0.866,4.843,0.7087
20150103,GCWC2,0.046,0.006,0.178,0.0355,1470.0,100.0,1.811,0.236,7.008,1.3976
20150103,BCHC2,0.03,0.01,0.086,0.01,886.0,100.0,1.181,0.394,3.386,0.3937
20150103,PGWC2L,0.021,0.0,0.147,0.0207,1283.0,99.9,0.827,0.0,5.787,0.815
20150103,PGWC2U,0.087,0.038,0.152,0.0313,136.0,100.0,3.425,1.496,5.984,1.2323
20150103,CLRC2,0.056,0.036,0.08,0.0161,6.0,100.0,2.205,1.417,3.15,0.6339
20150103,CHKC2,0.111,0.021,0.179,0.0396,370.0,100.0,4.37,0.827,7.047,1.5591
20150103,AERK1N,0.007,0.0,0.014,0.0029,6947.0,94.8,0.276,0.0,0.551,0.1142
20150103,NMIC2,0.006,0.003,0.013,0.001,4206.0,100.0,0.236,0.118,0.512,0.0394
20150103,THTC2L,0.01,0.003,0.017,0.0024,3861.0,100.0,0.394,0.118,0.669,0.0945
20150103,DWSC2,0.021,0.013,0.04,0.0065,62.0,100.0,0.827,0.512,1.575,0.2559
20150103,HMCC2,0.156,0.062,0.226,0.0517,113.0,100.0,6.142,2.441,8.898,2.0354
20150103,TDDC2,0.007,0.001,0.015,0.0028,702.0,100.0,0.276,0.039,0.591,0.1102
20150103,PTRC2,0.004,0.0,0.015,0.0034,380.0,94.2,0.157,0.0,0.591,0.1339
20150103,FNEC2,0.022,0.001,0.056,0.0133,1236.0,100.0,0.866,0.039,2.205,0.5236
20150103,PDLC2,0.032,0.0,0.17,0.0279,3579.0,99.7,1.26,0.0,6.693,1.0984
20150103,CCAC2,0.133,0.03,0.197,0.0427,303.0,100.0,5.236,1.181,7.756,1.6811
20150103,CBAC2,0.128,0.033,0.196,0.0366,317.0,100.0,5.039,1.299,7.717,1.4409
20150103,HMZC2L,0.04,0.025,0.076,0.0113,208.0,100.0,1.575,0.984,2.992,0.4449
20150103,FCAC2,0.014,0.0,0.047,0.0063,1900.0,99.9,0.551,0.0,1.85,0.248
20150103,PRTC2,0.015,0.002,0.072,0.0117,1906.0,100.0,0.591,0.079,2.835,0.4606
20150103,PNNC2L,0.007,0.002,0.008,0.0011,699.0,100.0,0.276,0.079,0.315,0.0433
20150103,PBAC2L,0.007,0.0,0.017,0.0018,2071.0,99.7,0.276,0.0,0.669,0.0709
20150103,PDAC2,0.008,0.006,0.009,0.0011,11.0,100.0,0.315,0.236,0.354,0.0433
20150103,FCHC2,0.007,0.004,0.009,0.0011,354.0,100.0,0.276,0.157,0.354,0.0433
20150103,HMZC2U,0.066,0.028,0.103,0.0153,136.0,100.0,2.598,1.102,4.055,0.6024
20150103,SALC2,0.028,0.007,0.152,0.0248,529.0,100.0,1.102,0.276,5.984,0.9764
20150103,ARNC2,0.026,0.0,0.157,0.0278,968.0,98.7,1.024,0.0,6.181,1.0945
20150103,WSVC2,0.077,0.01,0.276,0.06,1150.0,100.0,3.031,0.394,10.866,2.3622
20150103,CSNC2L,0.03,0.005,0.057,0.0098,428.0,100.0,1.181,0.197,2.244,0.3858
20150103,KENO2,0.008,0.003,0.023,0.0038,4877.0,100.0,0.315,0.118,0.906,0.1496
20150103,FWRC2L,0.008,0.005,0.012,0.0009,2551.0,100.0,0.315,0.197,0.472,0.0354
20150103,TBTC2,0.007,0.003,0.01,0.0019,2041.0,100.0,0.276,0.118,0.394,0.0748
20150103,PGMC2,0.009,0.001,0.018,0.0031,807.0,100.0,0.354,0.039,0.709,0.122
20150103,CNCC2,0.018,0.005,0.045,0.0091,1097.0,100.0,0.709,0.197,1.772,0.3583
20150103,FHAC2L,0.007,0.003,0.009,0.0012,432.0,100.0,0.276,0.118,0.354,0.0472
20150103,LARC2L,0.006,0.0,0.012,0.0021,9166.0,98.7,0.236,0.0,0.472,0.0827
20150103,LAPC2,0.006,0.0,0.01,0.0014,2511.0,98.0,0.236,0.0,0.394,0.0551
20150103,SCVC2L,0.006,0.0,0.016,0.0012,1274.0,99.8,0.236,0.0,0.63,0.0472
20150103,CLVC2U,0.102,0.036,0.147,0.0274,64.0,100.0,4.016,1.417,5.787,1.0787
20150103,NPTC2L,0.006,0.002,0.01,0.0015,4176.0,100.0,0.236,0.079,0.394,0.0591
20150103,ADLC2,0.006,0.002,0.01,0.002,879.0,100.0,0.236,0.079,0.394,0.0787
20150103,BONC2L,0.007,0.0,0.009,0.0013,1616.0,99.7,0.276,0.0,0.354,0.0512
20150103,LAMC2L,0.006,0.0,0.011,0.0023,12808.0,98.0,0.236,0.0,0.433,0.0906
20150103,EHTK1,0.005,0.0,0.009,0.002,7589.0,96.3,0.197,0.0,0.354,0.0787
20150103,COOK1,0.004,0.0,0.012,0.0025,6316.0,95.3,0.157,0.0,0.472,0.0984
20150103,FSEC2L,0.007,0.002,0.009,0.0014,204.0,100.0,0.276,0.079,0.354,0.0551
20150103,DRFK1,0.005,0.0,0.012,0.0027,10838.0,93.3,0.197,0.0,0.472,0.1063
20150103,JMCC2,0.006,0.0,0.009,0.0025,3188.0,93.3,0.236,0.0,0.354,0.0984
20150103,LMAC2,0.006,0.0,0.01,0.0024,5683.0,96.6,0.236,0.0,0.394,0.0945
