Date_YYYYMMDD,LOCAL_ID,SWE_Mean_meters,SWE_Minimum_meters,SWE_Maximum_meters,SWE_StdDev_meters,Count_pixels,SnowCover_percent,SWE_Mean_inches,SWE_Min_inches,SWE_Max_inches,SWE_StdDev_inches
20150313,CDMC2,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0
20150313,ARCC2,0.0,0.0,0.0,0.0,2369.0,0.0,0.0,0.0,0.0,0.0
20150313,LXHC2,0.0,0.0,0.0,0.0,3284.0,0.0,0.0,0.0,0.0,0.0
20150313,FWRC2U,0.004,0.0,0.263,0.0191,2082.0,6.6,0.157,0.0,10.354,0.752
20150313,BONC2U,0.017,0.0,0.307,0.0395,6084.0,24.9,0.669,0.0,12.087,1.5551
20150313,LAMC2U,0.0,0.0,0.0,0.0,1617.0,0.0,0.0,0.0,0.0,0.0
20150313,LARC2U,0.0,0.0,0.0,0.0,924.0,0.0,0.0,0.0,0.0,0.0
20150313,NPTC2U,0.0,0.0,0.01,0.0004,1227.0,0.2,0.0,0.0,0.394,0.0157
20150313,FSEC2U,0.0,0.0,0.003,0.0002,296.0,0.3,0.0,0.0,0.118,0.0079
20150313,CSNC2U,0.078,0.015,0.149,0.035,71.0,100.0,3.071,0.591,5.866,1.378
20150313,THTC2U,0.0,0.0,0.03,0.0013,1295.0,0.5,0.0,0.0,1.181,0.0512
20150313,SCVC2U,0.038,0.0,0.254,0.0571,933.0,49.1,1.496,0.0,10.0,2.248
20150313,PNNC2U,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0
20150313,FHAC2U,0.0,0.0,0.016,0.0013,334.0,2.4,0.0,0.0,0.63,0.0512
20150313,PBAC2U,0.012,0.0,0.135,0.0276,829.0,29.2,0.472,0.0,5.315,1.0866
20150313,CBVC2,0.117,0.0,0.331,0.1188,137.0,72.3,4.606,0.0,13.031,4.6772
20150313,ABVC2,0.084,0.0,0.317,0.0904,622.0,81.7,3.307,0.0,12.48,3.5591
20150313,CLVC2L,0.068,0.0,0.254,0.0642,178.0,79.2,2.677,0.0,10.0,2.5276
20150313,GCWC2,0.062,0.0,0.329,0.084,1470.0,61.4,2.441,0.0,12.953,3.3071
20150313,BCHC2,0.024,0.0,0.126,0.0238,886.0,83.6,0.945,0.0,4.961,0.937
20150313,PGWC2L,0.033,0.0,0.309,0.0524,1283.0,51.2,1.299,0.0,12.165,2.063
20150313,PGWC2U,0.179,0.037,0.316,0.0794,136.0,100.0,7.047,1.457,12.441,3.126
20150313,CLRC2,0.057,0.02,0.135,0.0381,6.0,100.0,2.244,0.787,5.315,1.5
20150313,CHKC2,0.164,0.0,0.307,0.1005,370.0,96.8,6.457,0.0,12.087,3.9567
20150313,AERK1N,0.0,0.0,0.0,0.0,6947.0,0.0,0.0,0.0,0.0,0.0
20150313,NMIC2,0.0,0.0,0.0,0.0,4206.0,0.0,0.0,0.0,0.0,0.0
20150313,THTC2L,0.0,0.0,0.0,0.0,3861.0,0.0,0.0,0.0,0.0,0.0
20150313,DWSC2,0.002,0.0,0.033,0.0063,62.0,11.3,0.079,0.0,1.299,0.248
20150313,HMCC2,0.245,0.053,0.417,0.1208,113.0,100.0,9.646,2.087,16.417,4.7559
20150313,TDDC2,0.0,0.0,0.0,0.0,702.0,0.0,0.0,0.0,0.0,0.0
20150313,PTRC2,0.0,0.0,0.01,0.0005,380.0,0.3,0.0,0.0,0.394,0.0197
20150313,FNEC2,0.007,0.0,0.066,0.0124,1236.0,28.7,0.276,0.0,2.598,0.4882
20150313,PDLC2,0.034,0.0,0.321,0.0609,3579.0,57.3,1.339,0.0,12.638,2.3976
20150313,CCAC2,0.199,0.017,0.365,0.11,303.0,100.0,7.835,0.669,14.37,4.3307
