Date_YYYYMMDD,LOCAL_ID,SWE_Mean_meters,SWE_Minimum_meters,SWE_Maximum_meters,SWE_StdDev_meters,Count_pixels,SnowCover_percent,SWE_Mean_inches,SWE_Min_inches,SWE_Max_inches,SWE_StdDev_inches
20160122,CDMC2,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0
20160122,ARCC2,0.0,0.0,0.0,0.0,2369.0,0.0,0.0,0.0,0.0,0.0
20160122,LXHC2,0.0,0.0,0.001,0.0002,3284.0,2.5,0.0,0.0,0.039,0.0079
20160122,FWRC2U,0.002,0.0,0.148,0.0096,2082.0,16.9,0.079,0.0,5.827,0.378
20160122,BONC2U,0.007,0.0,0.23,0.0195,6084.0,36.0,0.276,0.0,9.055,0.7677
20160122,LAMC2U,0.0,0.0,0.007,0.0006,1617.0,7.8,0.0,0.0,0.276,0.0236
20160122,LARC2U,0.0,0.0,0.0,0.0,924.0,0.0,0.0,0.0,0.0,0.0
20160122,NPTC2U,0.002,0.0,0.046,0.0069,1227.0,22.7,0.079,0.0,1.811,0.2717
20160122,FSEC2U,0.001,0.0,0.015,0.0021,296.0,11.8,0.039,0.0,0.591,0.0827
20160122,CSNC2U,0.049,0.013,0.108,0.0282,71.0,100.0,1.929,0.512,4.252,1.1102
20160122,THTC2U,0.002,0.0,0.015,0.0022,1295.0,68.0,0.079,0.0,0.591,0.0866
20160122,SCVC2U,0.011,0.0,0.149,0.0246,933.0,58.8,0.433,0.0,5.866,0.9685
20160122,PNNC2U,0.0,0.0,0.003,0.0005,85.0,5.9,0.0,0.0,0.118,0.0197
20160122,FHAC2U,0.001,0.0,0.013,0.0019,334.0,13.5,0.039,0.0,0.512,0.0748
20160122,PBAC2U,0.01,0.0,0.104,0.0188,829.0,52.8,0.394,0.0,4.094,0.7402
20160122,CBVC2,0.054,0.0,0.175,0.0437,137.0,97.8,2.126,0.0,6.89,1.7205
20160122,ABVC2,0.032,0.0,0.145,0.036,622.0,81.7,1.26,0.0,5.709,1.4173
20160122,CLVC2L,0.065,0.02,0.177,0.04,178.0,100.0,2.559,0.787,6.969,1.5748
20160122,GCWC2,0.049,0.0,0.342,0.0828,1470.0,78.8,1.929,0.0,13.465,3.2598
20160122,BCHC2,0.004,0.0,0.057,0.0077,886.0,43.9,0.157,0.0,2.244,0.3031
20160122,PGWC2L,0.028,0.0,0.242,0.0421,1283.0,81.1,1.102,0.0,9.528,1.6575
20160122,PGWC2U,0.132,0.032,0.245,0.0536,136.0,100.0,5.197,1.26,9.646,2.1102
20160122,CLRC2,0.027,0.016,0.043,0.0084,6.0,100.0,1.063,0.63,1.693,0.3307
20160122,CHKC2,0.108,0.003,0.24,0.061,370.0,100.0,4.252,0.118,9.449,2.4016
20160122,AERK1N,0.0,0.0,0.0,0.0,6947.0,0.0,0.0,0.0,0.0,0.0
20160122,NMIC2,0.0,0.0,0.001,0.0001,4206.0,1.7,0.0,0.0,0.039,0.0039
20160122,THTC2L,0.001,0.0,0.002,0.0007,3861.0,52.5,0.039,0.0,0.079,0.0276
20160122,DWSC2,0.0,0.0,0.002,0.0003,62.0,3.2,0.0,0.0,0.079,0.0118
20160122,HMCC2,0.114,0.036,0.189,0.0525,113.0,100.0,4.488,1.417,7.441,2.0669
20160122,TDDC2,0.001,0.0,0.006,0.001,702.0,74.5,0.039,0.0,0.236,0.0394
20160122,PTRC2,0.002,0.0,0.014,0.0025,380.0,99.7,0.079,0.0,0.551,0.0984
20160122,FNEC2,0.009,0.0,0.041,0.0095,1236.0,72.2,0.354,0.0,1.614,0.374
20160122,PDLC2,0.015,0.0,0.269,0.0417,3579.0,34.6,0.591,0.0,10.591,1.6417
20160122,CCAC2,0.106,0.018,0.231,0.0558,303.0,100.0,4.173,0.709,9.094,2.1969
20160122,CBAC2,0.107,0.013,0.184,0.0445,317.0,100.0,4.213,0.512,7.244,1.752
20160122,HMZC2L,0.092,0.025,0.229,0.0404,208.0,100.0,3.622,0.984,9.016,1.5906
20160122,FCAC2,0.005,0.0,0.053,0.0082,1900.0,42.1,0.197,0.0,2.087,0.3228
