Date_YYYYMMDD,LOCAL_ID,SNODAS_SWE_Mean_m,SNODAS_SWE_Min_m,SNODAS_SWE_Max_m,SNODAS_SWE_StdDev_m,SNODAS_Pixels_Count,SNODAS_SnowCover_percent,SNODAS_SWE_Mean_in,SNODAS_SWE_Min_in,SNODAS_SWE_Max_in,SNODAS_SWE_StdDev_in
20100101,NPTC2L,0.004,0.0,0.016,0.003,4176.0,79.9,0.157,0.0,0.63,0.1181
20100101,ADLC2,0.002,0.0,0.013,0.0029,879.0,27.0,0.079,0.0,0.512,0.1142
20100101,BONC2L,0.001,0.0,0.006,0.0012,1616.0,38.1,0.039,0.0,0.236,0.0472
20100101,LAMC2L,0.004,0.0,0.026,0.0038,12808.0,81.8,0.157,0.0,1.024,0.1496
20100101,EHTK1,0.0,0.0,0.005,0.0005,7589.0,39.0,0.0,0.0,0.197,0.0197
20100101,COOK1,0.005,0.0,0.012,0.0037,6316.0,81.8,0.197,0.0,0.472,0.1457
20100101,FSEC2L,0.005,0.002,0.008,0.0011,204.0,100.0,0.197,0.079,0.315,0.0433
20100101,DRFK1,0.002,0.0,0.01,0.0022,10838.0,52.3,0.079,0.0,0.394,0.0866
20100101,JMCC2,0.005,0.0,0.016,0.0041,3092.0,82.4,0.197,0.0,0.63,0.1614
20100101,LMAC2,0.005,0.0,0.015,0.0039,5653.0,88.4,0.197,0.0,0.591,0.1535
20100101,SYRK1,0.001,0.0,0.005,0.001,1258.0,47.9,0.039,0.0,0.197,0.0394
20100101,KENK1,0.0,0.0,0.002,0.0007,783.0,32.4,0.0,0.0,0.079,0.0276
20100101,FRGO2,0.0,0.0,0.004,0.0007,17634.0,35.9,0.0,0.0,0.157,0.0276
20100101,TQLC2,0.114,0.046,0.171,0.0273,115.0,100.0,4.488,1.811,6.732,1.0748
20100101,LEDC2,0.099,0.034,0.171,0.0297,449.0,100.0,3.898,1.339,6.732,1.1693
20100101,TINC2,0.081,0.029,0.153,0.0267,318.0,100.0,3.189,1.142,6.024,1.0512
20100101,ABEC2,0.071,0.027,0.169,0.0315,366.0,100.0,2.795,1.063,6.654,1.2402
20100101,TLRC2,0.051,0.026,0.113,0.0169,125.0,100.0,2.008,1.024,4.449,0.6654
20100101,ARGC2,0.048,0.016,0.149,0.018,403.0,100.0,1.89,0.63,5.866,0.7087
20100101,BTNFDRLO,0.025,0.009,0.049,0.0076,89.0,100.0,0.984,0.354,1.929,0.2992
20100101,BTNFDRM,0.043,0.009,0.155,0.0231,196.0,100.0,1.693,0.354,6.102,0.9094
20100101,BTNFDRUP,0.087,0.039,0.155,0.029,84.0,100.0,3.425,1.535,6.102,1.1417
20100101,BTCANYLO,0.021,0.006,0.038,0.0076,249.0,100.0,0.827,0.236,1.496,0.2992
20100101,BTCANYUP,0.024,0.002,0.076,0.0143,118.0,100.0,0.945,0.079,2.992,0.563
20100101,BTABESLO,0.018,0.005,0.029,0.0054,33.0,100.0,0.709,0.197,1.142,0.2126
20100101,BTABESM,0.068,0.01,0.158,0.0355,278.0,100.0,2.677,0.394,6.22,1.3976
20100101,BTABESUP,0.107,0.039,0.223,0.0421,289.0,100.0,4.213,1.535,8.78,1.6575
20100101,TCFC2H_F,0.113,0.049,0.187,0.0255,387.0,100.0,4.449,1.929,7.362,1.0039
20100101,SKEC2H_F,0.112,0.062,0.177,0.0221,253.0,100.0,4.409,2.441,6.969,0.8701
20100101,BSWC2L_F,0.084,0.046,0.152,0.0189,341.0,100.0,3.307,1.811,5.984,0.7441
20100101,NAVC2H_F,0.233,0.102,0.388,0.0557,431.0,100.0,9.173,4.016,15.276,2.1929
