Date_YYYYMMDD,LOCAL_ID,SNODAS_SWE_Mean_m,SNODAS_SWE_Min_m,SNODAS_SWE_Max_m,SNODAS_SWE_StdDev_m,SNODAS_Pixels_Count,SNODAS_SnowCover_percent,SNODAS_SWE_Mean_in,SNODAS_SWE_Min_in,SNODAS_SWE_Max_in,SNODAS_SWE_StdDev_in
20170123,CDMC2,0.008,0.0,0.023,0.0062,1314.0,82.7,0.315,0.0,0.906,0.2441
20170123,ARCC2,0.001,0.0,0.016,0.003,2369.0,27.6,0.039,0.0,0.63,0.1181
20170123,LXHC2,0.009,0.0,0.027,0.0051,3284.0,83.4,0.354,0.0,1.063,0.2008
20170123,FWRC2U,0.003,0.0,0.198,0.0131,2082.0,21.3,0.118,0.0,7.795,0.5157
20170123,BONC2U,0.008,0.0,0.24,0.0204,6084.0,65.9,0.315,0.0,9.449,0.8031
20170123,LAMC2U,0.001,0.0,0.007,0.0014,1617.0,36.7,0.039,0.0,0.276,0.0551
20170123,LARC2U,0.0,0.0,0.005,0.0004,924.0,5.4,0.0,0.0,0.197,0.0157
20170123,NPTC2U,0.002,0.0,0.008,0.0013,1227.0,83.5,0.079,0.0,0.315,0.0512
20170123,FSEC2U,0.006,0.002,0.019,0.0039,296.0,100.0,0.236,0.079,0.748,0.1535
20170123,CSNC2U,0.08,0.034,0.13,0.0219,71.0,100.0,3.15,1.339,5.118,0.8622
20170123,THTC2U,0.005,0.0,0.026,0.0071,1295.0,46.3,0.197,0.0,1.024,0.2795
20170123,SCVC2U,0.006,0.0,0.067,0.008,933.0,77.9,0.236,0.0,2.638,0.315
20170123,PNNC2U,0.014,0.011,0.021,0.002,85.0,100.0,0.551,0.433,0.827,0.0787
20170123,FHAC2U,0.01,0.002,0.036,0.009,334.0,100.0,0.394,0.079,1.417,0.3543
20170123,PBAC2U,0.032,0.0,0.12,0.0289,829.0,79.3,1.26,0.0,4.724,1.1378
