Date_YYYYMMDD,LOCAL_ID,SWE_Mean_meters,SWE_Minimum_meters,SWE_Maximum_meters,SWE_StdDev_meters,Count_pixels,SnowCover_percent,SWE_Mean_inches,SWE_Min_inches,SWE_Max_inches,SWE_StdDev_inches
20150301,CDMC2,0.017,0.01,0.025,0.0028,1314.0,100.0,0.669,0.394,0.984,0.1102
20150301,ARCC2,0.012,0.0,0.022,0.0029,2369.0,99.5,0.472,0.0,0.866,0.1142
20150301,LXHC2,0.015,0.006,0.03,0.0034,3284.0,100.0,0.591,0.236,1.181,0.1339
20150301,FWRC2U,0.04,0.024,0.263,0.0159,2082.0,100.0,1.575,0.945,10.354,0.626
20150301,BONC2U,0.065,0.016,0.307,0.0306,6084.0,100.0,2.559,0.63,12.087,1.2047
20150301,LAMC2U,0.018,0.002,0.03,0.0051,1617.0,100.0,0.709,0.079,1.181,0.2008
20150301,LARC2U,0.015,0.005,0.027,0.0035,924.0,100.0,0.591,0.197,1.063,0.1378
20150301,NPTC2U,0.017,0.002,0.042,0.0054,1227.0,100.0,0.669,0.079,1.654,0.2126
20150301,FSEC2U,0.018,0.005,0.036,0.006,296.0,100.0,0.709,0.197,1.417,0.2362
20150301,CSNC2U,0.087,0.025,0.152,0.0316,71.0,100.0,3.425,0.984,5.984,1.2441
20150301,THTC2U,0.027,0.007,0.061,0.0069,1295.0,100.0,1.063,0.276,2.402,0.2717
20150301,SCVC2U,0.085,0.038,0.262,0.0396,933.0,100.0,3.346,1.496,10.315,1.5591
20150301,PNNC2U,0.022,0.008,0.03,0.0035,85.0,100.0,0.866,0.315,1.181,0.1378
20150301,FHAC2U,0.015,0.0,0.031,0.0058,334.0,99.1,0.591,0.0,1.22,0.2283
20150301,PBAC2U,0.033,0.0,0.139,0.0322,829.0,94.1,1.299,0.0,5.472,1.2677
20150301,CBVC2,0.127,0.02,0.313,0.1,137.0,100.0,5.0,0.787,12.323,3.937
20150301,ABVC2,0.091,0.005,0.297,0.0786,622.0,100.0,3.583,0.197,11.693,3.0945
