Date_YYYYMMDD,LOCAL_ID,SWE_Mean_meters,SWE_Minimum_meters,SWE_Maximum_meters,SWE_StdDev_meters,Count_pixels,SnowCover_percent,SWE_Mean_inches,SWE_Min_inches,SWE_Max_inches,SWE_StdDev_inches
20150409,CDMC2,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0
20150409,ARCC2,0.0,0.0,0.0,0.0,2369.0,0.0,0.0,0.0,0.0,0.0
20150409,LXHC2,0.0,0.0,0.0,0.0,3284.0,0.0,0.0,0.0,0.0,0.0
20150409,FWRC2U,0.002,0.0,0.332,0.0167,2082.0,1.7,0.079,0.0,13.071,0.6575
20150409,BONC2U,0.004,0.0,0.382,0.0235,6084.0,3.4,0.157,0.0,15.039,0.9252
20150409,LAMC2U,0.0,0.0,0.0,0.0,1617.0,0.0,0.0,0.0,0.0,0.0
20150409,LARC2U,0.0,0.0,0.0,0.0,924.0,0.0,0.0,0.0,0.0,0.0
20150409,NPTC2U,0.0,0.0,0.0,0.0,1227.0,0.0,0.0,0.0,0.0,0.0
20150409,FSEC2U,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0
20150409,CSNC2U,0.061,0.0,0.164,0.05,71.0,81.7,2.402,0.0,6.457,1.9685
20150409,THTC2U,0.0,0.0,0.0,0.0,1295.0,0.0,0.0,0.0,0.0,0.0
20150409,SCVC2U,0.02,0.0,0.317,0.0568,933.0,14.6,0.787,0.0,12.48,2.2362
20150409,PNNC2U,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0
20150409,FHAC2U,0.0,0.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0
20150409,PBAC2U,0.008,0.0,0.149,0.0249,829.0,13.5,0.315,0.0,5.866,0.9803
20150409,CBVC2,0.115,0.0,0.406,0.1401,137.0,52.6,4.528,0.0,15.984,5.5157
20150409,ABVC2,0.086,0.0,0.365,0.1153,622.0,54.0,3.386,0.0,14.37,4.5394
20150409,CLVC2L,0.016,0.0,0.296,0.0506,178.0,14.6,0.63,0.0,11.654,1.9921
20150409,GCWC2,0.041,0.0,0.438,0.0983,1470.0,20.4,1.614,0.0,17.244,3.8701
20150409,BCHC2,0.006,0.0,0.14,0.0191,886.0,17.0,0.236,0.0,5.512,0.752
20150409,PGWC2L,0.01,0.0,0.402,0.0445,1283.0,7.4,0.394,0.0,15.827,1.752
20150409,PGWC2U,0.203,0.014,0.414,0.108,136.0,100.0,7.992,0.551,16.299,4.252
20150409,CLRC2,0.003,0.0,0.017,0.0063,6.0,16.7,0.118,0.0,0.669,0.248
20150409,CHKC2,0.147,0.0,0.331,0.1109,370.0,83.8,5.787,0.0,13.031,4.3661
20150409,AERK1N,0.0,0.0,0.0,0.0,6947.0,0.0,0.0,0.0,0.0,0.0
20150409,NMIC2,0.0,0.0,0.0,0.0,4206.0,0.0,0.0,0.0,0.0,0.0
20150409,THTC2L,0.0,0.0,0.0,0.0,3861.0,0.0,0.0,0.0,0.0,0.0
20150409,DWSC2,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0
20150409,HMCC2,0.238,0.034,0.514,0.1444,113.0,100.0,9.37,1.339,20.236,5.685
20150409,TDDC2,0.0,0.0,0.0,0.0,702.0,0.0,0.0,0.0,0.0,0.0
20150409,PTRC2,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0
20150409,FNEC2,0.0,0.0,0.05,0.0031,1236.0,0.8,0.0,0.0,1.969,0.122
20150409,PDLC2,0.019,0.0,0.424,0.0661,3579.0,11.1,0.748,0.0,16.693,2.6024
20150409,CCAC2,0.197,0.0,0.409,0.138,303.0,93.1,7.756,0.0,16.102,5.4331
20150409,CBAC2,0.2,0.0,0.428,0.1229,317.0,87.7,7.874,0.0,16.85,4.8386
20150409,HMZC2L,0.006,0.0,0.26,0.0298,208.0,7.7,0.236,0.0,10.236,1.1732
20150409,FCAC2,0.001,0.0,0.129,0.009,1900.0,1.7,0.039,0.0,5.079,0.3543
20150409,PRTC2,0.001,0.0,0.181,0.0101,1906.0,1.2,0.039,0.0,7.126,0.3976
20150409,PNNC2L,0.0,0.0,0.0,0.0,699.0,0.0,0.0,0.0,0.0,0.0
20150409,PBAC2L,0.0,0.0,0.0,0.0,2071.0,0.0,0.0,0.0,0.0,0.0
20150409,PDAC2,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
20150409,FCHC2,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0
20150409,HMZC2U,0.149,0.0,0.307,0.0936,136.0,94.1,5.866,0.0,12.087,3.685
20150409,SALC2,0.01,0.0,0.328,0.046,529.0,9.5,0.394,0.0,12.913,1.811
20150409,ARNC2,0.014,0.0,0.35,0.0505,968.0,16.5,0.551,0.0,13.78,1.9882
